_u1.fuid,_u1.fplatformname,_u1.dt,_u1.if_away,_u1.label_score_week,_u1.label_score_month,_u1.play_score_alteration,_u1.label_score,_u1.play_passion_7day,_u1.pay_passion_7day,_u1.play_passion_30day,_u1.pay_passion_30day,_u1.lifespan,_u1.signup_to_now_days,_u1.total_silver_coin,_u1.total_gold_bar,_u1.carrying_silver_coin,_u1.carrying_gold_bar,_u1.safebox_silver_coin,_u1.safebox_gold_bar,_u1.if_vip,_u1.play_duration_life,_u1.play_duration_30day,_u1.play_duration_7day,_u1.play_innings_life,_u1.play_innings_30day,_u1.play_innings_7day,_u1.win_innings_life,_u1.win_innings_7day,_u1.lose_innings_life,_u1.lose_innings_7day,_u1.win_rate_life,_u1.win_rate_7day,_u1.pay_count_life,_u1.pay_count_30day,_u1.pay_count_7day,_u1.pay_sum_life,_u1.pay_sum_30day,_u1.pay_sum_7day,_u1.login_count_life,_u1.login_count_7day,_u1.bankrupt_count_life,_u1.bankrupt_count_7day,_u1.relieve_count_life,_u1.relieve_silver_coins_life,_u1.match_innings_life,_u1.match_duration_life,_u1.match_win_rate_life,_u1.recent_login_series_days,_u1.latest_play_coins,_u1.last_active_to_now_days,_u1.last_pay_to_now_days
15465,四川,2018-07-02,0,8,8,0.266666666667,8,22,0,30,0,1111,1112,60423,0,4002,0,56421,0,0,839443,31379,7457,6162,236,61,3253,27,2656,29,0.5279,0.4821,0,0,0,0.00,0.00,0.00,677,9,168,0,60,480000,2418,334966,0.0074,0,540,1,0
16579,辽宁,2018-07-02,0,6,6,0.16,6,63,0,75,0,1109,1109,1031490,0,111883,0,919607,0,0,7385938,210520,43011,22143,724,150,2547,12,1669,8,0.1150,0.6000,7,0,0,148.00,0.00,0.00,1562,7,34,0,25,230000,17849,6082000,0.0003,1,9417,0,72
50192,四川,2018-07-02,0,6,6,-0.119047619048,6,94,0,84,0,1082,1082,2480,0,2480,0,0,0,0,504856,180553,61000,5019,1281,433,2287,254,2446,153,0.4557,0.6241,8,0,0,22.50,0.00,0.00,535,26,367,10,188,1510000,2888,202860,0.0010,21,-4800,0,291
55273,四川,2018-07-02,1,9,8,0.8,8,3,0,15,0,1077,1080,1832847,552,2876,376,1829971,176,0,1193819,18703,179,14890,139,1,6912,0,7697,1,0.4642,0.0000,0,0,0,0.00,0.00,0.00,816,1,22,0,11,98000,13964,1103256,0.0170,0,-5884,3,0
55307,四川,2018-07-02,0,6,6,0.093023255814,6,78,0,86,0,1080,1080,18000,99,18000,99,0,0,1,411133,143725,28424,5081,1048,206,2308,110,2663,84,0.4542,0.5670,0,0,0,0.00,0.00,0.00,347,15,219,34,59,472000,3270,173437,0.0000,41,-7434,0,0
60316,四川,2018-07-02,0,6,8,-0.362068965517,8,79,0,58,0,1078,1078,788235,16,15682,16,772553,0,0,1596222,85502,29562,24084,1076,379,11149,202,12686,173,0.4629,0.5387,1,0,0,2.00,0.00,0.00,1342,29,458,10,355,2928000,17861,1122535,0.0132,5,-18000,0,943
73243,四川,2018-07-02,0,8,8,0.323529411765,8,23,0,34,0,1074,1074,631147,0,17060,0,614087,0,1,404584,10702,2526,2859,79,19,1626,12,1096,7,0.5687,0.6316,0,0,0,0.00,0.00,0.00,1249,9,0,0,0,0,2180,314702,0.0000,40,960,0,0
75060,辽宁,2018-07-02,1,9,5,0.893617021277,5,5,0,47,35,1070,1074,0,10,0,10,0,0,0,227527,169703,4260,724,552,14,191,8,182,6,0.2638,0.5714,15,15,0,21.00,21.00,0.00,58,3,26,2,14,112000,177,58175,0.0169,0,-12544,4,18
83807,四川,2018-07-02,1,9,8,0.789473684211,8,4,0,19,0,1066,1071,189912,24,10891,24,179021,0,0,986195,14914,1959,12453,96,12,5082,6,7133,6,0.4081,0.5000,1,0,0,2.00,0.00,0.00,1082,2,708,0,359,3144000,9866,801951,0.0224,0,-45000,5,557
84934,四川,2018-07-02,0,8,8,0.294117647059,8,36,0,51,0,1071,1071,1999539,0,75958,0,1923581,0,0,6347888,93501,20215,98450,483,109,30633,59,67966,49,0.3112,0.5463,80,0,0,168.00,0.00,0.00,4221,10,971,0,507,4134000,97940,6249484,0.0000,1,-10000,0,467
