mid,play_passion_7days,pay_passion_7days,label_score_7days,play_passion_30days,pay_passion_30days,label_score_30days
1492144,57,0,8,33,0,8
3745580,4,0,9,10,3,8
3791516,11,0,8,26,0,8
3826268,6,0,9,3,0,9
3860580,57,0,8,62,0,6
3930786,14,0,8,25,0,8
3952912,NULL,NULL,NULL,3,0,9
4054054,5,0,9,7,0,9
4054484,NULL,NULL,NULL,3,0,9
4097418,40,0,8,37,0,8
4105758,NULL,NULL,NULL,27,0,8
4137708,27,0,8,19,0,8
4149836,NULL,NULL,NULL,4,0,9
4154898,NULL,NULL,NULL,15,5,8
4182780,12,0,8,45,0,8
4185712,55,0,8,44,0,8
4196622,80,0,6,86,27,3
4220832,35,0,8,56,0,8
4227816,36,0,8,32,0,8
4234078,5,0,9,12,0,8
4252136,7,0,9,15,0,8
4257196,22,0,8,6,0,9
4263782,4,0,9,2,0,9
4267368,24,0,8,25,0,8
4272260,43,0,8,16,0,8
4280238,88,18,3,91,10,3
4280878,73,0,6,67,0,6
4281034,8,0,9,15,0,8
4281914,21,0,8,6,0,9
4282444,5,0,9,4,0,9
4294866,88,0,6,89,0,6
4294948,5,0,9,2,0,9
4297740,61,0,6,48,0,8
4303412,24,5,8,16,5,8
4313168,34,0,8,46,0,8
4315312,5,0,9,3,0,9
4316568,43,0,8,59,0,8
4319580,NULL,NULL,NULL,28,0,8
4320776,NULL,NULL,NULL,3,0,9
4320988,6,0,9,13,0,8
4322894,9,0,9,18,0,8
4324964,41,17,5,41,9,8
4328500,61,0,6,59,0,8
4328828,76,0,6,71,0,6
4332390,19,9,8,26,11,5
4334014,9,0,9,11,0,8
4334502,79,0,6,64,0,6
4335974,5,0,9,3,0,9
4336640,9,0,9,5,0,9
4338696,10,0,8,17,0,8
4339762,4,0,9,2,0,9
4341150,5,0,9,20,0,8
4341784,65,0,6,49,0,8
4344904,24,0,8,50,0,8
4349144,75,0,6,68,0,6
4353256,47,0,8,62,0,6
4353288,29,0,8,27,0,8
4354792,86,0,6,89,0,6
4357708,28,0,8,33,0,8
4360526,10,0,8,3,0,9
4362222,NULL,NULL,NULL,2,0,9
4369964,30,0,8,20,0,8
4372770,4,0,9,34,0,8
4373210,94,0,6,98,0,6
4380392,25,12,5,37,33,5
4393580,7,0,9,16,0,8
4395454,21,0,8,22,0,8
4399440,86,0,6,85,0,6
4402526,16,0,8,29,0,8
4403908,59,0,8,70,0,6
4411214,83,0,6,83,0,6
4411298,62,0,6,59,0,8
4412866,NULL,NULL,NULL,2,0,9
4413642,15,0,8,12,0,8
4414894,NULL,NULL,NULL,4,0,9
4416200,97,0,6,58,0,8
4416452,32,0,8,49,0,8
4419888,39,0,8,37,0,8
4422142,9,0,9,16,0,8
4430530,45,0,8,79,0,6
4431098,9,0,9,50,0,8
4432500,13,0,8,60,0,6
4435440,9,0,9,5,0,9
4448426,4,0,9,8,0,9
4452818,11,0,8,5,0,9
4456744,39,0,8,27,0,8
4464700,23,0,8,30,0,8
4468104,16,0,8,25,0,8
4475632,13,0,8,4,0,9
4476168,26,0,8,14,0,8
4476848,5,0,9,7,0,9
4482574,11,0,8,11,0,8
4482750,NULL,NULL,NULL,7,0,9
4485104,68,0,6,25,3,8
4487492,4,0,9,41,0,8
4491200,40,0,8,58,0,8
4491754,4,0,9,3,0,9
4499840,89,0,6,79,0,6
4501028,38,0,8,64,0,6
4501052,70,0,6,73,0,6
4505314,44,0,8,41,0,8
4507232,68,0,6,73,0,6
4508538,4,0,9,9,0,9
4509514,20,0,8,15,0,8
4514156,25,0,8,18,0,8
4514442,53,0,8,73,0,6
4518684,9,0,9,11,0,8
4520188,NULL,NULL,NULL,2,0,9
4523992,20,0,8,8,0,9
4530254,6,0,9,40,0,8
4531764,10,0,8,27,0,8
4536042,42,0,8,66,0,6
4538916,88,0,6,42,0,8
4539990,77,35,3,56,51,5
4542156,10,0,8,3,0,9
4549756,33,0,8,33,0,8
4556416,16,0,8,15,0,8
4556900,5,0,9,13,0,8
4558910,9,0,9,7,0,9
4561722,41,0,8,71,0,6
4562080,42,0,8,43,0,8
4576318,39,0,8,35,0,8
4583816,5,0,9,9,0,9
4585514,37,0,8,49,0,8
4588928,80,0,6,82,0,6
4592102,100,69,1,100,71,1
4594698,4,0,9,2,0,9
4594978,29,0,8,31,0,8
4595230,29,0,8,43,0,8
4596592,57,44,5,44,37,5
4596594,88,0,6,95,0,6
4608568,22,0,8,46,0,8
4609220,4,0,9,3,0,9
4610470,80,0,6,88,0,6
4620088,4,0,9,3,0,9
4620900,44,9,8,27,5,8
4628328,10,0,8,9,0,9
4630050,5,0,9,6,0,9
4633928,5,0,9,2,0,9
4636710,92,0,6,82,0,6
4638646,9,0,9,15,0,8
4644054,45,0,8,26,0,8
4647184,NULL,NULL,NULL,3,0,9
