fbpid,fuid,lifespan,pay_sum,latest_login_time,null,付费,赢牌获得,系统产出,兑换,null,高级场,职业场,私人场,中级场,新手场
384C601DAA0369E7BB9AECC1D53D3437,1002348033,264,0.00,2018-07-30,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
384C601DAA0369E7BB9AECC1D53D3437,1002353776,101,0.00,2018-02-18,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.7300,82.2700
384C601DAA0369E7BB9AECC1D53D3437,1002449614,67,0.00,2018-02-20,0.0000,0.0000,49.6746,50.3254,0.0000,0.0000,0.0000,0.0000,25.5900,0.0000,74.4100
384C601DAA0369E7BB9AECC1D53D3437,1002774494,24,6.95,2018-04-11,0.0000,85.2618,0.0000,14.7382,0.0000,0.0000,0.9400,0.0000,0.0000,17.8900,81.1700
384C601DAA0369E7BB9AECC1D53D3437,1002995874,77,0.00,2018-08-25,0.0000,0.0000,59.5219,40.4781,0.0000,0.0000,0.0000,0.0000,0.0000,1.8500,98.1500
384C601DAA0369E7BB9AECC1D53D3437,1003025503,1,0.00,2018-06-30,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
384C601DAA0369E7BB9AECC1D53D3437,1003035621,33,0.00,2018-08-08,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
384C601DAA0369E7BB9AECC1D53D3437,1003046855,1,0.00,2018-07-14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002268081,309,0.00,2018-08-25,0.0000,0.0000,40.1957,59.8043,0.0000,0.0000,0.6500,0.0000,0.0000,4.9100,94.4400
BD5FDCFA71A9CD5313766DAE14B56F9F,1002455699,251,0.00,2018-08-26,0.0000,0.0000,0.9353,99.0647,0.0000,0.0000,9.4000,0.0000,0.0000,9.4600,81.1400
BD5FDCFA71A9CD5313766DAE14B56F9F,1002746429,85,0.00,2018-06-02,0.0000,0.0000,68.0197,31.9803,0.0000,0.0000,6.3000,0.0000,0.0000,23.5900,70.1000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002835632,144,0.00,2018-08-26,0.0000,0.0000,42.1885,57.8115,0.0000,0.0000,0.6100,0.0000,0.0000,14.3100,85.0800
BD5FDCFA71A9CD5313766DAE14B56F9F,1002860992,21,0.99,2018-04-30,0.0000,56.7474,0.0000,43.2526,0.0000,0.0000,0.0000,0.0000,0.0000,87.9300,12.0700
BD5FDCFA71A9CD5313766DAE14B56F9F,1002896000,44,0.00,2018-06-01,0.0000,0.0000,23.3287,76.6713,0.0000,0.0000,3.8200,0.0000,0.0000,16.1300,80.0500
BD5FDCFA71A9CD5313766DAE14B56F9F,1002980113,56,0.00,2018-07-25,0.0000,0.0000,19.7785,80.2215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1003088451,1,0.00,2018-08-05,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
384C601DAA0369E7BB9AECC1D53D3437,1002725437,2,0.00,2018-03-06,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
384C601DAA0369E7BB9AECC1D53D3437,1002736536,1,0.00,2018-03-08,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
384C601DAA0369E7BB9AECC1D53D3437,1002850583,141,0.00,2018-08-26,0.0000,0.0000,24.3818,75.6182,0.0000,0.0000,6.0400,0.0000,0.0000,18.3800,75.5800
384C601DAA0369E7BB9AECC1D53D3437,1002912917,96,0.00,2018-07-30,0.0000,0.0000,41.2572,58.7428,0.0000,0.0000,0.3100,0.0000,31.1800,1.8400,66.6800
384C601DAA0369E7BB9AECC1D53D3437,1003000649,1,0.00,2018-06-13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
384C601DAA0369E7BB9AECC1D53D3437,1003039025,1,0.00,2018-07-09,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002296093,306,0.00,2018-08-26,0.0000,0.0000,30.3503,69.6497,0.0000,0.0000,6.4500,0.1100,0.0000,14.7100,78.7300
BD5FDCFA71A9CD5313766DAE14B56F9F,1002365397,252,0.00,2018-07-23,0.0000,0.0000,25.4678,74.5322,0.0000,0.0000,92.4900,0.0000,0.0000,0.0000,7.5100
BD5FDCFA71A9CD5313766DAE14B56F9F,1002624943,155,0.00,2018-07-14,0.0000,0.0000,13.1788,86.8212,0.0000,0.0000,1.2000,0.0000,0.0000,5.8700,92.9300
BD5FDCFA71A9CD5313766DAE14B56F9F,1002833635,143,0.00,2018-08-24,0.0000,0.0000,31.9617,68.0383,0.0000,0.0000,0.0000,0.0000,0.0000,33.5100,66.4900
BD5FDCFA71A9CD5313766DAE14B56F9F,1002848810,3,0.00,2018-04-10,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002886558,30,0.00,2018-05-14,0.0000,0.0000,31.3662,68.6338,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002942628,1,0.00,2018-05-11,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002983468,4,0.00,2018-06-05,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,82.7600,0.0000,17.2400
BD5FDCFA71A9CD5313766DAE14B56F9F,1003006487,58,0.00,2018-08-13,0.0000,0.0000,6.2239,93.7761,0.0000,0.0000,0.0000,0.0000,0.0000,18.2600,81.7400
BD5FDCFA71A9CD5313766DAE14B56F9F,1003071846,30,0.00,2018-08-25,0.0000,0.0000,13.6049,86.3951,0.0000,0.0000,0.0000,0.0000,42.4000,0.0000,57.6000
BD5FDCFA71A9CD5313766DAE14B56F9F,1003080167,20,0.00,2018-08-20,0.0000,0.0000,24.6818,75.3182,0.0000,0.0000,0.0000,0.0000,98.7700,0.1200,1.1100
384C601DAA0369E7BB9AECC1D53D3437,1002371573,225,0.00,2018-06-28,0.0000,0.0000,44.3975,37.5368,0.0000,0.0000,16.4900,0.0000,0.0000,79.5900,3.9100
384C601DAA0369E7BB9AECC1D53D3437,1002557199,151,0.00,2018-06-15,0.0000,0.0000,15.1205,84.8795,0.0000,0.0000,0.0000,0.0000,4.3100,0.0000,95.6900
384C601DAA0369E7BB9AECC1D53D3437,1002613724,189,0.00,2018-08-12,0.0000,0.0000,73.6071,26.3929,0.0000,0.0000,0.0000,0.0000,0.0000,8.8800,91.1200
384C601DAA0369E7BB9AECC1D53D3437,1002727902,1,0.00,2018-03-06,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
